"","Taxon","count"
"1","Achnanthidium sp.",119952.378489493
"2","Actinastrum hantzschii",9.00048081487403
"3","Algae UNID",135.610632416704
"4","Amphora sp.",706.776505331472
"5","Anabaena sp.",4164.0794456611
"6","Ankistrodesmus sp.",36.0026378647141
"7","Aphanocapsa sp.",190.120083169532
"8","Arthrospira sp.",38.7452894826996
"9","Asterionella formosa",905.986674663856
"10","Aulacoseira sp.",10449.9462523738
"11","Bacillaria paradoxa",452.733135864242
"12","Bacillaria sp.",547.373705358248
"13","Biddulphia sp.",2232.38935473314
"14","Bitrichia chodatii",170.45318261985
"15","Borzia sp.",159.883650828268
"16","Brachysira sp.",0.986873113253481
"17","Calothrix sp.",8.51057025279248
"18","Carteria sp.",373.334781011171
"19","Centrales UNID",321.301859613507
"20","Chaetoceros sp.",1215.2560202743
"21","Chlamydomonas grovei",123.306557639891
"22","Chlorella ellipsoidea",54.3999518999519
"23","Chlorophyta UNID",235.599378422781
"24","Chroococcus sp.",1272.65665195724
"25","Chroomonas sp.",6925.02558995751
"26","Chrysochromulina sp.",87.2927016579094
"27","Chrysococcus sp.",32.22500336716
"28","Chrysophyte UNID",1084.72093489853
"29","Cladophora glomerata",17.2339047619048
"30","Closterium sp.",15.6164406027904
"31","Cocconeis sp.",60468.405264642
"32","Coelastrum sp.",5.95560781568134
"33","Crucigenia sp.",63.923444256178
"34","Crucigenia tetrapedia",17.2144084550878
"35","Crucigeniella rectangularis",4.23316624895572
"36","Crucigeniella sp.",8.46633249791144
"37","Cryptomonas sp.",13424.1157018219
"38","Cyanophyte UNID",592.820589010077
"39","Cyclotella atomus",4558.10420427904
"40","Cyclotella sp.",8795.64780832633
"41","Cylindrotheca sp.",2482.67962262657
"42","Cymbella sp.",184.457438658679
"43","Desmodesmus sp.",17.6209107183202
"44","Diatoma sp.",3885.80135371612
"45","Dictyosphaerium pulchellum",68.0845620223398
"46","Dictyosphaerium sp.",270.194854224092
"47","Didymosphenia geminata",0.641142290249433
"48","Dinobryon sp.",211.843046996821
"49","Dinoflagellate  UNID",17.2164015444015
"50","Diploneis sp.",1430.69370165247
"51","Elakatothrix acuta",13.7927495590717
"52","Encyonema sp.",4389.01829647133
"53","Encyonopsis sp.",3.00673490580032
"54","Entomoneis sp.",14868.7629783652
"55","Epipyxis sp.",0.755212758029658
"56","Epithemia sp.",127.320354438151
"57","Euglena sp.",818.111233884206
"58","Euglenophyta  UNID",2.74974901641568
"59","Eunotia sp.",500.159350642817
"60","Fragilaria crotonensis",23.8115601503759
"61","Fragilaria sp.",24541.7968678488
"62","Frustulia sp.",2.23417107583774
"63","Geitlerinema sp.",66.1069797782126
"64","Geminella sp.",3446.6292574393
"65","Gomphonema sp.",3923.49599723377
"66","Gyrosigma sp.",69.6075214699599
"67","Hemiselmis sp.",6357.39156445218
"68","Heterocapsa sp.",12577.4937252971
"69","Hippodonta sp.",3.02085103211863
"70","Hymenomonas sp.",4.40713198521417
"71","Katablepharis sp.",26.4439870051946
"72","Katodinium sp.",322.499839110182
"73","Kirchneriella sp.",20.5338992112769
"74","Klebsormidium sp.",174.333527430452
"75","Lagerheimia chodatii",40.796018698443
"76","Lagerheimia sp.",4.34757614757615
"77","Lemnicola sp.",5.0645779909328
"78","Lepidodinium sp.",6298.142620584
"79","Lepocinclis ovum",6866.69397656966
"80","Lepocinclis sp.",1637.13287133678
"81","Leptolyngbya sp.",21287.1179931478
"82","Leucocryptos marina",778.535152844327
"83","Mallomonas akrokomos",1.28175551761209
"84","Mallomonas sp.",193.494169181797
"85","Melosira sp.",41660.9346128726
"86","Melosira varians",356.327541866276
"87","Merismopedia sp.",981.736135367819
"88","Mesoporos perforatus",62.0884647595015
"89","Microcystis sp.",312.417702962917
"90","Monoraphidium arcuatum",2223.02949581891
"91","Monoraphidium caribeum",0.597993745205641
"92","Monoraphidium circinale",15.7535974012427
"93","Monoraphidium contortum",14084.7514434888
"94","Monoraphidium griffithii",8.06763390401751
"95","Monoraphidium komarkovae",6324.8289443299
"96","Monoraphidium minutum",1514.97687217335
"97","Monoraphidium tortile",136.215104590406
"98","Mougeotia sp.",4.01354455445545
"99","Navicula sp.",27409.8832825136
"100","Nephrochlamys sp.",15.129564993565
"101","Nitzschia sp.",27359.125275096
"102","Ochromonas sp.",1710.22963498164
"103","Oedogonium sp.",3665.0357510563
"104","Oocystis solitaria",5.3191064079953
"105","Oscillatoria sp.",87351.5423712158
"106","Pandorina sp.",289.298161470823
"107","Pediastrum boryanum",174.079846079846
